LeadID,Age,Gender,Location,LeadSource,TimeSpent (minutes),PagesViewed,LeadStatus,EmailSent,DeviceType,ReferralSource,FormSubmissions,Downloads,CTR_ProductPage,ResponseTime (hours),FollowUpEmails,SocialMediaEngagement,PaymentHistory,Conversion,feedback
10986,37,Female,Islamabad,Referral,53,13,Hot,4,Mobile,ReferralSite,4,1,0.1,10,4,141,Good,1,It does the job as advertised.
11113,42,Male,Lahore,Organic,10,15,Hot,6,Mobile,ReferralSite,3,3,0.6,13,4,21,No Payment,1,"Happy with the purchase, though not exceptional."
11366,30,Male,Lahore,Social Media,35,15,Hot,2,Tablet,ReferralSite,0,1,0.3,19,10,104,Good,1,The quality is impressive for the price.
11382,39,Female,Karachi,Email,47,14,Hot,4,Tablet,Twitter,3,2,0.8,3,4,107,Good,1,I really liked the product.
11500,34,Male,Lahore,Referral,53,14,Hot,2,Tablet,ReferralSite,0,2,0.5,11,9,30,No Payment,1,"Solid product, works as expected."
11551,36,Male,Islamabad,Organic,58,13,Hot,3,Desktop,Google,2,0,0.7,14,4,33,Good,1,A decent product with good value.
11615,37,Female,Lahore,Social Media,31,12,Hot,3,Tablet,ReferralSite,4,0,0.2,2,6,101,No Payment,1,Great experience!
11665,50,Female,Islamabad,Referral,14,15,Warm,7,Tablet,Google,4,0,0.8,2,6,31,No Payment,1,Great experience!
11683,29,Male,Karachi,Referral,58,11,Hot,1,Mobile,ReferralSite,1,3,0.6,10,7,23,Good,1,A good choice for anyone considering it.
11694,28,Male,Karachi,Referral,33,11,Hot,8,Desktop,Facebook,4,0,0.5,18,0,34,Good,1,I am generally pleased with the purchase.
11768,34,Female,Lahore,Email,55,12,Hot,7,Mobile,Facebook,0,1,0.6,6,5,152,No Payment,1,"Good quality, but there’s room for improvement."
11784,38,Male,Karachi,Social Media,43,14,Cold,7,Mobile,Direct,4,3,0.6,15,6,186,Good,1,"Good quality, but there’s room for improvement."
11813,28,Male,Islamabad,Organic,50,13,Hot,7,Desktop,Google,4,2,0.5,19,5,56,Good,1,"Solid product, works as expected."
11970,47,Female,Islamabad,Social Media,60,13,Warm,6,Mobile,ReferralSite,1,0,0.2,11,4,57,No Payment,1,The quality is impressive for the price.
11985,48,Male,Lahore,Email,17,13,Warm,7,Tablet,Direct,4,1,0.5,5,5,193,No Payment,1,The quality is impressive for the price.
12003,42,Male,Lahore,Organic,8,14,Hot,6,Tablet,Google,4,1,0.4,20,6,141,Good,1,"Happy with the purchase, though not exceptional."
12019,40,Female,Lahore,Referral,22,13,Cold,10,Mobile,Direct,5,3,0.8,23,8,120,No Payment,1,Very satisfied with the service.
12028,33,Female,Karachi,Organic,50,14,Cold,9,Desktop,Twitter,4,0,0.4,6,6,129,Good,1,This is exactly what I was looking for.
12092,43,Female,Lahore,Organic,28,15,Warm,8,Desktop,Direct,5,0,0.6,1,9,60,Good,1,It’s a reliable product.
12371,39,Male,Lahore,Social Media,42,15,Hot,1,Desktop,Twitter,1,0,0.6,8,9,104,Good,1,Great experience!
12425,32,Female,Karachi,Email,58,15,Hot,6,Mobile,Facebook,0,2,0.4,20,2,81,No Payment,1,This product is quite useful.
12450,32,Male,Islamabad,Email,23,14,Hot,7,Tablet,Twitter,0,3,0.7,6,10,76,No Payment,1,It does the job as advertised.
12466,47,Male,Karachi,Email,43,13,Warm,8,Desktop,Twitter,5,2,0.7,18,7,134,Good,1,"Satisfied overall, no major complaints."
12488,39,Male,Lahore,Email,47,12,Hot,10,Mobile,Facebook,0,0,0.2,3,2,185,No Payment,1,"It’s nice to have, though not life-changing."
12497,38,Female,Islamabad,Social Media,43,11,Hot,9,Mobile,Google,2,2,0.5,12,1,68,No Payment,1,"Satisfied overall, no major complaints."
12572,31,Female,Karachi,Social Media,45,13,Hot,8,Tablet,Google,0,1,0.5,13,3,181,Good,1,I am generally pleased with the purchase.
12663,35,Female,Islamabad,Organic,58,12,Hot,5,Mobile,Direct,3,1,0.4,18,2,156,Good,1,A good choice for anyone considering it.
12676,43,Female,Karachi,Email,28,15,Hot,7,Mobile,Direct,0,2,0.2,5,9,90,Good,1,"Happy with the purchase, though not exceptional."
12822,50,Male,Karachi,Email,34,13,Cold,8,Mobile,Facebook,3,2,0.4,11,5,159,No Payment,1,This is exactly what I was looking for.
12828,47,Female,Karachi,Social Media,21,15,Cold,8,Mobile,Direct,5,2,0.2,13,5,184,No Payment,1,It’s a reliable product.
12961,47,Male,Karachi,Social Media,51,13,Warm,8,Desktop,Twitter,0,2,0.4,10,6,133,No Payment,1,A decent product with good value.
13066,29,Female,Islamabad,Social Media,43,12,Hot,9,Tablet,Direct,1,1,0.5,4,10,71,No Payment,1,I use it regularly and it meets my expectations.
13078,30,Female,Lahore,Social Media,13,15,Hot,8,Mobile,Facebook,0,1,0.5,22,10,171,Good,1,It has improved my workflow significantly.
13101,34,Male,Lahore,Referral,6,14,Warm,9,Mobile,Google,3,2,0.6,7,9,35,No Payment,1,This is exactly what I was looking for.
13163,29,Male,Lahore,Social Media,36,15,Hot,10,Mobile,Twitter,5,2,0.3,8,8,198,No Payment,1,The product is amazing!
13231,34,Female,Islamabad,Referral,24,13,Warm,10,Mobile,Facebook,1,0,0.6,14,4,165,Good,1,It’s a reliable product.
13232,39,Female,Lahore,Social Media,58,13,Cold,7,Mobile,Facebook,1,0,0.5,23,4,93,Good,1,Great experience!
13243,40,Female,Karachi,Email,47,14,Warm,6,Desktop,Google,0,2,0.7,1,8,180,Good,1,Very satisfied with the service.
13258,38,Male,Lahore,Organic,30,14,Cold,9,Tablet,Google,5,2,0.7,4,4,113,No Payment,1,Very satisfied with the service.
13316,37,Female,Lahore,Referral,54,14,Hot,4,Desktop,Facebook,2,2,0.7,5,2,140,Good,1,A decent product with good value.
13437,30,Female,Islamabad,Email,30,13,Cold,9,Desktop,Facebook,1,1,0.5,12,9,111,No Payment,1,It has improved my workflow significantly.
13473,35,Male,Islamabad,Organic,28,13,Cold,9,Tablet,Twitter,3,3,0.3,22,4,92,Good,1,The product works well for my needs.
13480,45,Female,Karachi,Referral,6,14,Hot,6,Tablet,ReferralSite,0,2,0.6,16,8,104,No Payment,1,"Happy with the purchase, though not exceptional."
13584,40,Male,Lahore,Organic,38,12,Hot,8,Desktop,Twitter,1,0,0.4,17,10,155,Good,1,"Good quality, but there’s room for improvement."
13606,44,Female,Karachi,Referral,10,15,Warm,10,Desktop,Twitter,0,1,0.2,14,5,43,Good,1,I really liked the product.
13640,38,Male,Karachi,Organic,59,13,Cold,6,Tablet,Google,0,0,0.2,2,8,153,No Payment,1,"Satisfied overall, no major complaints."
13884,31,Male,Islamabad,Social Media,38,14,Cold,6,Tablet,Facebook,1,1,0.5,24,8,129,No Payment,1,"Solid product, works as expected."
13903,38,Male,Islamabad,Referral,47,11,Hot,6,Tablet,Google,1,3,0.7,4,7,128,No Payment,1,A good choice for anyone considering it.
14099,25,Male,Islamabad,Organic,36,14,Hot,4,Desktop,Direct,1,2,0.4,10,1,61,No Payment,1,The product works well for my needs.
14105,38,Male,Islamabad,Social Media,34,15,Hot,1,Mobile,Facebook,5,0,0.2,7,2,133,Good,1,I am generally pleased with the purchase.
14230,39,Male,Lahore,Email,21,15,Cold,10,Mobile,ReferralSite,4,3,0.4,14,6,58,Good,1,"Good quality, but there’s room for improvement."
14279,40,Female,Lahore,Referral,31,11,Hot,1,Desktop,Facebook,1,3,0.6,19,0,146,No Payment,1,Very satisfied with the service.
14301,29,Female,Lahore,Email,37,11,Hot,2,Mobile,Direct,3,1,0.5,11,4,182,Good,1,This is exactly what I was looking for.
14367,26,Male,Islamabad,Referral,35,12,Hot,1,Tablet,Twitter,5,3,0.7,17,7,137,No Payment,1,"It’s nice to have, though not life-changing."
14536,44,Male,Islamabad,Social Media,5,15,Warm,8,Mobile,Google,0,2,0.5,7,7,124,No Payment,1,"It’s nice to have, though not life-changing."
14555,42,Female,Karachi,Social Media,6,13,Cold,6,Mobile,Google,1,3,0.7,23,5,97,No Payment,1,It has improved my workflow significantly.
14610,36,Female,Lahore,Organic,60,13,Hot,5,Desktop,Direct,4,1,0.2,18,4,179,Good,1,"Happy with the purchase, though not exceptional."
14737,46,Female,Lahore,Referral,54,13,Hot,6,Tablet,Twitter,1,1,0.5,21,6,21,Good,1,A good choice for anyone considering it.
14813,46,Male,Islamabad,Social Media,21,13,Hot,6,Tablet,Twitter,4,0,0.3,19,6,46,No Payment,1,Great experience!
14919,49,Male,Lahore,Email,9,13,Cold,9,Desktop,Facebook,5,1,0.7,10,6,24,No Payment,1,It has improved my workflow significantly.
15057,29,Male,Lahore,Referral,50,13,Hot,10,Tablet,ReferralSite,0,0,0.1,8,1,76,Good,1,This is exactly what I was looking for.
15154,36,Male,Islamabad,Organic,57,15,Hot,10,Desktop,ReferralSite,4,1,0.6,6,6,140,No Payment,1,"It’s nice to have, though not life-changing."
15169,41,Female,Lahore,Referral,18,13,Warm,8,Mobile,Direct,0,1,0.2,9,5,22,Good,1,The quality is impressive for the price.
15178,26,Female,Lahore,Social Media,51,12,Hot,2,Tablet,Google,5,1,0.2,10,0,44,Good,1,Very satisfied with the service.
15228,37,Male,Karachi,Referral,56,14,Hot,7,Tablet,ReferralSite,5,0,0.3,14,0,125,Good,1,I really liked the product.
15230,45,Female,Karachi,Social Media,48,14,Warm,7,Mobile,Google,5,3,0.7,23,9,109,No Payment,1,I use it regularly and it meets my expectations.
15261,32,Female,Karachi,Organic,39,11,Hot,9,Mobile,Google,5,2,0.2,7,9,119,Good,1,It’s a reliable product.
15318,47,Male,Karachi,Organic,36,15,Warm,9,Mobile,Direct,5,1,0.5,12,7,56,Good,1,It does the job as advertised.
15383,26,Female,Karachi,Referral,53,14,Hot,1,Desktop,Direct,5,0,0.5,4,5,155,Good,1,The product works well for my needs.
15393,37,Male,Islamabad,Referral,43,14,Hot,3,Desktop,ReferralSite,4,0,0.2,23,7,128,No Payment,1,Great experience!
15420,45,Male,Karachi,Social Media,23,14,Warm,7,Tablet,Google,3,2,0.4,20,9,71,No Payment,1,"Happy with the purchase, though not exceptional."
15461,45,Male,Lahore,Referral,31,14,Warm,8,Desktop,Facebook,0,0,0.3,23,8,59,Good,1,"It’s nice to have, though not life-changing."
15463,44,Female,Karachi,Organic,15,15,Hot,8,Tablet,Twitter,5,0,0.8,10,8,21,No Payment,1,I use it regularly and it meets my expectations.
15612,26,Male,Lahore,Organic,31,12,Hot,2,Desktop,Twitter,2,1,0.1,17,9,24,No Payment,1,"Solid product, works as expected."
15667,31,Male,Karachi,Referral,53,12,Hot,4,Desktop,Facebook,0,1,0.2,14,8,194,No Payment,1,This product is quite useful.
15679,38,Female,Karachi,Organic,21,15,Cold,9,Desktop,ReferralSite,4,1,0.6,21,6,66,Good,1,It has improved my workflow significantly.
15729,32,Male,Lahore,Social Media,17,15,Hot,10,Tablet,Facebook,1,1,0.2,14,10,28,No Payment,1,Great experience!
15846,45,Male,Lahore,Referral,11,15,Warm,7,Desktop,Google,4,3,0.6,11,7,80,No Payment,1,This is exactly what I was looking for.
15868,34,Female,Karachi,Email,14,15,Cold,7,Mobile,ReferralSite,4,1,0.2,12,4,157,No Payment,1,The product is amazing!
15971,34,Male,Karachi,Social Media,11,15,Warm,9,Tablet,ReferralSite,3,1,0.1,17,4,99,Good,1,This product is quite useful.
16147,42,Female,Lahore,Email,5,15,Cold,8,Desktop,ReferralSite,2,1,0.7,22,7,175,No Payment,1,I really liked the product.
16210,40,Female,Karachi,Referral,47,15,Hot,10,Mobile,Facebook,1,3,0.2,9,5,180,Good,1,The product is amazing!
16249,34,Female,Karachi,Organic,42,11,Hot,5,Mobile,Facebook,1,0,0.4,20,5,50,No Payment,1,"Solid product, works as expected."
16351,46,Female,Karachi,Referral,46,14,Cold,6,Tablet,Google,2,3,0.2,5,6,163,No Payment,1,I use it regularly and it meets my expectations.
16398,38,Female,Karachi,Email,55,11,Hot,4,Mobile,Twitter,3,1,0.1,18,0,83,Good,1,It does the job as advertised.
16429,48,Female,Karachi,Social Media,35,13,Cold,9,Tablet,Google,4,0,0.4,22,7,156,Good,1,It’s a reliable product.
16436,40,Male,Lahore,Email,58,11,Hot,5,Mobile,Direct,1,1,0.3,17,1,75,No Payment,1,The product works well for my needs.
16445,28,Female,Lahore,Social Media,43,13,Hot,4,Desktop,Facebook,5,1,0.6,8,8,44,Good,1,The quality is impressive for the price.
16609,34,Male,Lahore,Social Media,52,15,Hot,5,Tablet,Facebook,4,0,0.5,15,3,81,Good,1,I really liked the product.
16946,44,Female,Lahore,Social Media,50,15,Warm,7,Tablet,Google,0,1,0.7,1,4,84,Good,1,Very satisfied with the service.
16997,36,Female,Lahore,Referral,55,11,Hot,2,Tablet,Google,4,2,0.3,20,0,119,No Payment,1,I really liked the product.
17153,50,Male,Islamabad,Social Media,21,14,Cold,10,Tablet,Facebook,0,2,0.2,18,7,180,Good,1,"Satisfied overall, no major complaints."
17243,38,Male,Islamabad,Email,50,12,Hot,1,Tablet,Twitter,1,1,0.2,14,4,193,No Payment,1,I really liked the product.
17261,29,Male,Karachi,Email,55,11,Hot,8,Desktop,ReferralSite,3,3,0.5,15,1,146,Good,1,I use it regularly and it meets my expectations.
17275,49,Male,Lahore,Email,29,15,Cold,6,Tablet,Facebook,2,2,0.4,16,8,83,Good,1,"Solid product, works as expected."
17347,37,Female,Karachi,Email,13,13,Hot,7,Desktop,Direct,3,0,0.4,18,7,116,No Payment,1,Great experience!
17534,35,Male,Karachi,Email,57,15,Warm,9,Tablet,Google,5,0,0.8,8,4,75,No Payment,1,"Happy with the purchase, though not exceptional."
17799,30,Female,Karachi,Email,40,14,Hot,0,Desktop,Twitter,3,0,0.2,22,10,22,Good,1,"Good quality, but there’s room for improvement."
17863,45,Male,Lahore,Referral,49,13,Hot,7,Desktop,Twitter,1,2,0.6,7,6,170,No Payment,1,A good choice for anyone considering it.
17923,48,Male,Islamabad,Organic,13,15,Cold,7,Tablet,Direct,1,1,0.2,2,7,43,No Payment,1,Very satisfied with the service.
17954,43,Male,Karachi,Email,55,15,Warm,7,Mobile,Twitter,3,3,0.2,2,5,186,No Payment,1,I use it regularly and it meets my expectations.
18004,36,Female,Lahore,Social Media,39,13,Hot,2,Desktop,Twitter,5,1,0.1,10,0,63,No Payment,1,This is exactly what I was looking for.
18006,36,Male,Islamabad,Organic,46,14,Cold,9,Mobile,Twitter,1,1,0.1,17,10,94,Good,1,It has improved my workflow significantly.
18097,36,Male,Karachi,Social Media,53,11,Hot,1,Mobile,Facebook,3,3,0.2,4,5,143,No Payment,1,Great experience!
18204,27,Female,Islamabad,Email,32,13,Hot,0,Mobile,Facebook,2,1,0.7,5,9,61,No Payment,1,I use it regularly and it meets my expectations.
18277,35,Female,Lahore,Referral,39,11,Hot,3,Tablet,Facebook,3,1,0.6,4,1,199,Good,1,It does the job as advertised.
18283,32,Male,Karachi,Organic,47,15,Cold,9,Desktop,Facebook,3,2,0.4,14,6,178,Good,1,Very satisfied with the service.
18290,46,Male,Lahore,Organic,53,15,Cold,10,Mobile,Twitter,2,0,0.6,23,8,138,No Payment,1,I use it regularly and it meets my expectations.
18316,35,Male,Karachi,Organic,52,14,Hot,7,Desktop,ReferralSite,0,3,0.4,21,10,173,Good,1,The product is amazing!
18387,37,Male,Lahore,Social Media,58,12,Hot,0,Mobile,Twitter,5,2,0.2,4,0,117,No Payment,1,"Satisfied overall, no major complaints."
18418,35,Female,Islamabad,Email,18,14,Cold,6,Mobile,Facebook,5,0,0.2,12,9,41,Good,1,A good choice for anyone considering it.
18421,35,Male,Karachi,Organic,54,14,Hot,9,Mobile,Direct,3,3,0.2,22,6,95,No Payment,1,This is exactly what I was looking for.
18437,41,Male,Islamabad,Organic,18,13,Cold,8,Mobile,Google,4,2,0.5,11,6,100,No Payment,1,"Good quality, but there’s room for improvement."
18536,42,Male,Karachi,Social Media,42,14,Hot,8,Tablet,Facebook,3,1,0.6,23,4,30,No Payment,1,A good choice for anyone considering it.
18635,28,Male,Karachi,Social Media,43,15,Hot,5,Tablet,Direct,5,3,0.2,1,6,111,Good,1,"Solid product, works as expected."
18714,38,Female,Lahore,Email,43,13,Cold,7,Tablet,ReferralSite,4,1,0.6,18,5,126,No Payment,1,"Good quality, but there’s room for improvement."
18724,38,Female,Lahore,Social Media,21,13,Warm,6,Desktop,Direct,3,0,0.4,20,9,106,Good,1,Very satisfied with the service.
18763,46,Male,Lahore,Email,49,14,Hot,8,Mobile,Google,0,3,0.7,1,6,186,No Payment,1,A good choice for anyone considering it.
18837,46,Female,Islamabad,Social Media,42,15,Warm,6,Desktop,Direct,5,3,0.6,12,9,193,No Payment,1,The product works well for my needs.
18857,44,Male,Lahore,Referral,57,14,Warm,10,Tablet,ReferralSite,1,2,0.2,23,7,48,No Payment,1,"Satisfied overall, no major complaints."
18858,30,Female,Karachi,Email,5,14,Cold,7,Mobile,Google,2,3,0.6,19,6,138,Good,1,This is exactly what I was looking for.
18912,36,Male,Karachi,Organic,51,15,Warm,6,Desktop,Google,1,1,0.5,13,5,197,Good,1,This product is quite useful.
18923,49,Male,Islamabad,Referral,39,13,Hot,10,Desktop,Facebook,1,3,0.2,9,4,186,Good,1,This product is quite useful.
18980,36,Female,Islamabad,Email,45,12,Hot,10,Desktop,ReferralSite,2,0,0.7,19,1,186,No Payment,1,"Happy with the purchase, though not exceptional."
19019,33,Male,Lahore,Email,17,15,Cold,10,Desktop,Facebook,4,0,0.2,7,10,185,Good,1,Great experience!
19480,34,Female,Karachi,Social Media,30,13,Cold,6,Mobile,Direct,5,0,0.6,7,8,37,No Payment,1,It has improved my workflow significantly.
19508,31,Female,Karachi,Social Media,60,14,Warm,6,Desktop,Facebook,0,2,0.3,13,5,137,Good,1,Great experience!
19520,48,Male,Karachi,Referral,45,14,Warm,6,Tablet,ReferralSite,4,3,0.7,8,9,55,Good,1,A decent product with good value.
19534,45,Female,Lahore,Organic,15,14,Warm,6,Mobile,Twitter,4,1,0.6,21,6,94,No Payment,1,The product works well for my needs.
19634,37,Female,Lahore,Email,15,14,Cold,9,Desktop,Google,2,2,0.8,14,4,115,Good,1,Great experience!
19649,31,Male,Lahore,Organic,53,11,Hot,0,Mobile,Google,5,1,0.5,7,6,153,Good,1,The product works well for my needs.
19734,27,Female,Karachi,Email,44,12,Hot,10,Mobile,Google,5,0,0.7,7,10,56,Good,1,I am generally pleased with the purchase.
19735,50,Female,Lahore,Referral,50,14,Cold,6,Tablet,Google,5,1,0.7,24,10,163,No Payment,1,It does the job as advertised.
19744,35,Female,Lahore,Organic,9,15,Cold,6,Desktop,Twitter,3,2,0.4,19,9,146,Good,1,The quality is impressive for the price.
19833,41,Male,Islamabad,Organic,10,14,Hot,10,Mobile,Twitter,2,3,0.8,20,4,74,Good,1,A decent product with good value.
19847,47,Female,Islamabad,Email,42,13,Warm,10,Tablet,Google,4,0,0.8,15,4,165,Good,1,A good choice for anyone considering it.
19854,29,Female,Karachi,Organic,37,11,Hot,10,Tablet,ReferralSite,5,0,0.6,22,4,83,Good,1,The product works well for my needs.
20089,36,Female,Karachi,Email,34,12,Hot,9,Tablet,Google,5,0,0.8,4,7,174,No Payment,1,This product is quite useful.
20120,40,Male,Karachi,Email,45,15,Cold,10,Mobile,Google,5,0,0.3,9,6,132,No Payment,1,"Solid product, works as expected."
20179,26,Male,Lahore,Referral,60,13,Hot,7,Desktop,ReferralSite,1,3,0.6,14,9,139,No Payment,1,It has improved my workflow significantly.
20294,46,Male,Lahore,Referral,22,13,Warm,9,Desktop,Google,2,3,0.5,20,4,26,Good,1,I use it regularly and it meets my expectations.
20323,39,Female,Islamabad,Organic,60,14,Cold,9,Desktop,Google,4,1,0.6,1,4,137,No Payment,1,The quality is impressive for the price.
20427,32,Female,Karachi,Referral,36,14,Hot,5,Tablet,Twitter,0,2,0.8,9,6,39,No Payment,1,I am generally pleased with the purchase.
20471,35,Male,Lahore,Email,56,13,Warm,6,Tablet,Twitter,4,3,0.3,15,5,98,Good,1,"It’s nice to have, though not life-changing."
20515,26,Male,Islamabad,Email,50,12,Hot,9,Tablet,Twitter,4,1,0.5,2,5,25,No Payment,1,It does the job as advertised.
20554,30,Female,Lahore,Referral,16,15,Cold,7,Tablet,Twitter,0,3,0.1,12,4,188,Good,1,Very satisfied with the service.
20674,49,Male,Lahore,Referral,45,13,Cold,8,Mobile,Google,3,0,0.7,24,7,85,No Payment,1,Very satisfied with the service.
20690,36,Female,Karachi,Email,38,13,Hot,4,Tablet,Google,5,2,0.8,14,9,89,No Payment,1,I am generally pleased with the purchase.
20721,34,Male,Islamabad,Organic,34,13,Cold,10,Tablet,Google,3,3,0.3,13,8,99,Good,1,I am generally pleased with the purchase.
20730,47,Female,Karachi,Email,8,13,Warm,8,Mobile,Facebook,1,0,0.4,18,9,50,No Payment,1,The product works well for my needs.
20910,44,Female,Islamabad,Email,28,15,Warm,7,Tablet,Facebook,1,3,0.3,3,10,83,No Payment,1,The product is amazing!
20954,38,Female,Islamabad,Referral,35,15,Cold,10,Desktop,Google,0,0,0.5,20,7,155,Good,1,Great experience!
21039,34,Female,Islamabad,Referral,55,15,Hot,3,Desktop,ReferralSite,5,1,0.3,14,4,23,No Payment,1,"Good quality, but there’s room for improvement."
21078,28,Male,Lahore,Social Media,54,11,Hot,6,Mobile,Google,4,3,0.3,24,9,23,Good,1,It does the job as advertised.
21091,33,Female,Islamabad,Email,34,14,Hot,10,Tablet,ReferralSite,5,1,0.5,16,2,187,No Payment,1,This is exactly what I was looking for.
21117,32,Female,Lahore,Organic,32,14,Hot,9,Tablet,ReferralSite,0,2,0.2,1,3,50,Good,1,I am generally pleased with the purchase.
21161,50,Male,Islamabad,Email,40,13,Cold,10,Mobile,Google,3,0,0.5,1,9,68,Good,1,Great experience!
21170,35,Female,Lahore,Referral,51,13,Hot,10,Desktop,Google,4,3,0.5,22,3,91,No Payment,1,I am generally pleased with the purchase.
21201,36,Female,Lahore,Email,50,11,Hot,6,Tablet,Direct,0,0,0.1,7,6,93,Good,1,It has improved my workflow significantly.
21203,34,Female,Lahore,Organic,33,13,Hot,2,Mobile,Google,0,0,0.4,12,9,163,No Payment,1,It does the job as advertised.
21437,26,Male,Karachi,Social Media,41,13,Hot,3,Tablet,ReferralSite,3,0,0.7,13,0,165,Good,1,"It’s nice to have, though not life-changing."
21498,50,Male,Islamabad,Referral,34,13,Cold,6,Tablet,Google,1,1,0.5,8,6,110,Good,1,Very satisfied with the service.
21552,32,Female,Lahore,Email,57,11,Hot,8,Tablet,Facebook,3,3,0.7,22,1,109,Good,1,A decent product with good value.
21611,31,Female,Islamabad,Referral,38,11,Hot,4,Mobile,Google,2,0,0.7,13,3,148,Good,1,This is exactly what I was looking for.
21620,35,Female,Islamabad,Organic,41,13,Cold,6,Tablet,Direct,3,3,0.3,15,5,80,No Payment,1,This is exactly what I was looking for.
21673,31,Male,Lahore,Social Media,52,13,Hot,4,Mobile,Twitter,4,2,0.3,15,5,188,Good,1,Very satisfied with the service.
21791,41,Male,Islamabad,Referral,17,14,Cold,7,Desktop,Direct,4,0,0.1,6,5,171,No Payment,1,It does the job as advertised.
21836,39,Female,Islamabad,Referral,32,15,Hot,4,Tablet,Google,4,2,0.7,5,1,67,Good,1,It’s a reliable product.
21897,35,Female,Karachi,Referral,35,11,Hot,2,Mobile,Direct,5,0,0.4,8,1,182,Good,1,"Good quality, but there’s room for improvement."
22011,50,Female,Islamabad,Organic,46,15,Warm,10,Mobile,Google,2,3,0.4,12,7,171,Good,1,It has improved my workflow significantly.
22156,43,Male,Islamabad,Organic,8,14,Cold,7,Desktop,Facebook,3,1,0.3,11,8,85,No Payment,1,Very satisfied with the service.
22162,36,Female,Lahore,Social Media,48,15,Warm,8,Desktop,Twitter,1,2,0.3,12,10,104,No Payment,1,I really liked the product.
22263,41,Male,Islamabad,Email,23,13,Hot,6,Desktop,ReferralSite,5,1,0.4,11,8,191,Good,1,Great experience!
